id_geo;secteur_activite;result_label;result_type;result_housenumber;result_name;NOM_COMMUNE;ADRESSE;FILIERE;CODE_GRAND_SECTEUR;latitude;longitude;score;consommation_energie_brut;estimation_ges_brut;surface_habitable;PDL_elec;CONSO_elec;PDL_gaz;CONSO_gaz;classe_consommation_energie;classe_estimation_ges
77305_0910_00018;Autres (théâtres, salles de sport, restaurati;18 Place du Marché au Blé 77130 Montereau-Fault-Yonne;housenumber;18;Place du Marché au Blé;;;;;48.38683;2.95559;0.76;10995.6;323.40000000000003;46.2;0.0;0.0;0.0;0.0;E;B
77305_0920_00002;Habitation (Parties privatives d'immeuble col;2 Av du Mal de Lattre de Tassigny 77130 Montereau-Fault-Yonne;housenumber;2;Av du Mal de Lattre de Tassigny;;;;;48.381932;2.953467;0.68;0.0;0.0;97.0;0.0;0.0;0.0;0.0;A;A
77305_0920_00006;;;;;;MONTEREAU-FAULT-YONNE;6 AVENUE DU MAL DE LATTRE DE TASSIGNY;E;I;48.381455;2.952968;0.742580049140049;0.0;0.0;0.0;1.0;31.98007;0.0;0.0;G;G
77305_0920_00009;Bureau, Administration, Enseignement;9 Av du Mal de Lattre de Tassigny 77130 Montereau-Fault-Yonne;housenumber;9;Av du Mal de Lattre de Tassigny;;;;;48.381617;2.953362;0.69;9923.099999999999;2916.6499999999996;245.73;0.0;0.0;0.0;0.0;A;C
77305_0920_00010;;10 Av du Mal de Lattre de Tassigny 77130 Montereau-Fault-Yonne;housenumber;10;Av du Mal de Lattre de Tassigny;;;;;48.3812;2.952722;0.73;0.0;0.0;65.0;0.0;0.0;0.0;0.0;A;A
77305_0920_00012;Habitation (Parties privatives d'immeuble col;12 Av du Mal de Lattre de Tassigny 77130 Montereau-Fault-Yonne;housenumber;12;Av du Mal de Lattre de Tassigny;MONTEREAU-FAULT-YONNE;12 AVENUE DU MAL DE LATTRE DE TASSIGNY;E;R;48.381055;2.952568;0.7293452631578946;91831.54999999999;4844.52;405.41;16.0;108.71730000000001;0.0;0.0;D;C
77305_0920_00014;Habitation (parties privatives d immeuble col;14 Av du Mal de Lattre de Tassigny 77130 Montereau-Fault-Yonne;housenumber;14;Av du Mal de Lattre de Tassigny;MONTEREAU-FAULT-YONNE;14 AVENUE DU MAL DE LATTRE DE TASSIGNY;E;R;48.380884;2.952386;0.7430357894736841;7788.1;327.92;40.99;36.0;156.8938;0.0;0.0;D;B
77305_0920_00020;;20 Av du Mal de Lattre de Tassigny 77130 Montereau-Fault-Yonne;housenumber;20;Av du Mal de Lattre de Tassigny;;;;;48.38042;2.951906;0.71;29950.799999999996;7008.1;110.0;0.0;0.0;0.0;0.0;E;F
77305_0920_00025;Habitation (parties privatives d immeuble col;25 Av du Mal de Lattre de Tassigny 77130 Montereau-Fault-Yonne;housenumber;25;Av du Mal de Lattre de Tassigny;;;;;48.380514;2.952196;0.735;37800.0;2250.0;125.6;0.0;0.0;0.0;0.0;E;C
77305_0920_00027;;27 Av du Mal de Lattre de Tassigny 77130 Montereau-Fault-Yonne;housenumber;27;Av du Mal de Lattre de Tassigny;;;;;48.380403;2.952083;0.71;30123.630000000005;7047.535200000001;192.36;0.0;0.0;0.0;0.0;D;E
