;OPERATEUR;ANNEE;FILIERE;CODE_IRIS;NOM_COMMUNE;ADRESSE;CODE_GRAND_SECTEUR;CONSO;PDL;latitude;longitude;id;score
413038;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;5 AVENUE DE LA LIBERTE;R;2,339672e+01;13;48.398366;2.95198;77305_0875_00005;0.8721072727272726
413039;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;4 RUE DES ROSIERS;R;7,287877e+01;25;48.394365;2.945908;77305_1391_00004;0.8662018181818182
413040;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;17 PLACE DIDEROT;R;2,937781e+01;22;48.397786;2.95219;77305_0448_00017;0.8693518181818181
413041;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;14 RUE DES SABLONS;R;1,262514e+02;39;48.396638;2.946936;77305_1409_00014;0.8749372727272727
413042;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;3 PLACE DIDEROT;R;3,242622e+01;23;48.397786;2.95219;77305_0448_00003;0.8693518181818181
413043;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;2 RUE GUY BONIFACE;R;2,785171e+01;12;48.395203;2.951944;77305_0764_00002;0.8669018181818181
413044;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;3 RUE PAUL CLAUDEL;R;1,900049e+01;10;48.396802;2.95161;77305_1085_00003;0.87066
413045;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;31 AVENUE DE SURVILLE;R;1,938452e+02;23;48.393868;2.952002;77305_1515_00031;0.8765136363636363
413046;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;13 PLACE DIDEROT;R;2,703443e+01;15;48.397786;2.95219;77305_0448_00013;0.8693518181818181
413047;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;5 RUE PAUL CLAUDEL;R;1,321515e+01;10;48.39682;2.951174;77305_1085_00005;0.87066
413048;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;19 RUE PAUL CLAUDEL;R;1,773035e+01;10;48.396873;2.949755;77305_1085_00019;0.87066
413049;Enedis;2019;E;773050101;MONTEREAU-FAULT-YONNE;7 PLACE DIDEROT;R;3,806798e+01;15;48.397786;2.95219;77305_0448_00007;0.8693518181818181
