;OPERATEUR;ANNEE;FILIERE;CODE_IRIS;ADRESSE;NOM_COMMUNE;CODE_GRAND_SECTEUR;CONSO;PDL
178393;GRDF;2019;G;773050104;25 RUE DES CHESNOIS;MONTEREAU-FAULT-YONNE;R;9,082340e+00;10
178394;GRDF;2019;G;773050104;13 RUE ANATOLE FRANCE;MONTEREAU-FAULT-YONNE;R;1,088145e+01;15
178395;GRDF;2019;G;773050104;9 RUE ANATOLE FRANCE;MONTEREAU-FAULT-YONNE;R;4,792050e+00;15
178396;GRDF;2019;G;773050104;11 RUE ANATOLE FRANCE;MONTEREAU-FAULT-YONNE;R;9,214470e+00;17
178397;GRDF;2019;G;773050104;3 RUE JEAN BOUIN;MONTEREAU-FAULT-YONNE;R;6,296373e+01;104
178398;GRDF;2019;G;773050104;2 RUE DES CHESNOIS;MONTEREAU-FAULT-YONNE;R;7,802940e+00;12
178399;GRDF;2019;G;773050104;1 RUE DES GRES;MONTEREAU-FAULT-YONNE;R;4,376510e+01;67
178400;GRDF;2019;G;773050104;7 RUE FLEUR BEGNE;MONTEREAU-FAULT-YONNE;R;1,036401e+01;10
178401;GRDF;2019;G;773050104;2 RUE FLEUR BEGNE;MONTEREAU-FAULT-YONNE;R;5,131870e+00;10
178402;GRDF;2019;G;773050104;1 AVENUE MOLIERE;MONTEREAU-FAULT-YONNE;R;6,665510e+01;95
178403;GRDF;2019;G;773050105;AVENUE DE SURVILLE;MONTEREAU-FAULT-YONNE;I;7,376679e+02;1
178404;GRDF;2019;G;773050105;11 T RUE DES GRANDES BERGES;MONTEREAU-FAULT-YONNE;R;7,844514e+01;10
178405;GRDF;2019;G;773050105;8 PLACE DE BOULAINS;MONTEREAU-FAULT-YONNE;R;8,606140e+00;10
178406;GRDF;2019;G;773050105;RUE LAENNEC;MONTEREAU-FAULT-YONNE;T;2,502914e+03;1
178407;GRDF;2019;G;773050105;RUE HENRI BARBUSSE;MONTEREAU-FAULT-YONNE;T;4,934268e+02;1
178408;GRDF;2019;G;773050201;CHEMIN DE HALAGE DE L YONNE;MONTEREAU-FAULT-YONNE;I;2,508561e+03;1
178409;GRDF;2019;G;773050201;5 RUE DE LA GRANDE HAIE;MONTEREAU-FAULT-YONNE;T;1,083328e+03;1
178410;GRDF;2019;G;773050201;5 RUE DES CLOMARTS;MONTEREAU-FAULT-YONNE;T;2,792200e-01;1
178411;GRDF;2019;G;773050201;RUE DES CLOMARTS;MONTEREAU-FAULT-YONNE;T;1,632432e+02;1
178412;GRDF;2019;G;773050201;30 RUE DE LA GRANDE HAIE;MONTEREAU-FAULT-YONNE;T;0,000000e+00;1
178413;GRDF;2019;G;773050201;22 RUE DE LA GRANDE HAIE;MONTEREAU-FAULT-YONNE;T;2,525009e+03;1
178414;GRT Gaz;2019;G;773050201;36 RUE DE LA GRANDE HAIE;MONTEREAU-FAULT-YONNE;I;2,403520e+05;1
178415;GRDF;2019;G;773050202;1 RUE DE VARENNES;MONTEREAU-FAULT-YONNE;I;1,103376e+03;1
178416;GRDF;2019;G;773050202;RUE DES ENFANTS;MONTEREAU-FAULT-YONNE;I;1,675236e+03;1
178417;GRDF;2019;G;773050202;18 RUE DES ENFANTS;MONTEREAU-FAULT-YONNE;I;9,009920e+02;1
178418;GRDF;2019;G;773050202;RUE DE VARENNES PROLONGEE;MONTEREAU-FAULT-YONNE;I;6,360455e+02;1
178419;GRDF;2019;G;773050202;57 RUE LEO LAGRANGE;MONTEREAU-FAULT-YONNE;R;4,761753e+02;1
178420;GRDF;2019;G;773050202;18 RUE DES ENFANTS;MONTEREAU-FAULT-YONNE;R;2,774480e+00;10
178421;GRDF;2019;G;773050202;16 RUE DES ENFANTS;MONTEREAU-FAULT-YONNE;R;3,591680e+00;12
178422;GRDF;2019;G;773050202;39 B RUE GUE PUCELLE;MONTEREAU-FAULT-YONNE;R;2,553335e+02;43
178423;GRDF;2019;G;773050202;27 RUE ETIENNE THIBAULT;MONTEREAU-FAULT-YONNE;R;2,580741e+02;6
178424;GRDF;2019;G;773050202;8 BOULEVARD DES MESSIEURS;MONTEREAU-FAULT-YONNE;R;1,419030e+00;12
178425;GRDF;2019;G;773050202;9 RUE DU 8 MAI 1945;MONTEREAU-FAULT-YONNE;R;1,997326e+02;25
178426;GRDF;2019;G;773050202;10 BOULEVARD DES MESSIEURS;MONTEREAU-FAULT-YONNE;R;3,267550e+00;15
178427;GRDF;2019;G;773050202;15 RUE DU CHATELET;MONTEREAU-FAULT-YONNE;R;8,469018e+01;13
178428;GRDF;2019;G;773050202;12 RUE DES ENFANTS;MONTEREAU-FAULT-YONNE;R;5,564860e+00;12
178429;GRDF;2019;G;773050202;4 RUE GUE PUCELLE;MONTEREAU-FAULT-YONNE;R;1,559993e+02;16
178430;GRDF;2019;G;773050202;5 RUE DU CHATELET;MONTEREAU-FAULT-YONNE;T;2,297835e+02;1
178431;GRDF;2019;G;773050202;29 AVENUE DU GENERAL DE GAULLE;MONTEREAU-FAULT-YONNE;T;2,481810e+02;1
178432;GRDF;2019;G;773050202;RUE DES DEMOISELLES;MONTEREAU-FAULT-YONNE;T;5,326543e+02;1
178433;GRDF;2019;G;773050203;RUE PIERRE BROSSOLETTE;MONTEREAU-FAULT-YONNE;I;2,562502e+02;1
178434;GRDF;2019;G;773050203;6 RUE DE L ANCIENNE PIPERIE;MONTEREAU-FAULT-YONNE;I;1,162595e+03;1
178435;GRDF;2019;G;773050203;7 RUE VICTOR HUGO;MONTEREAU-FAULT-YONNE;R;6,428245e+01;12
178436;GRDF;2019;G;773050203;8 RUE PIERRE;MONTEREAU-FAULT-YONNE;R;4,075918e+02;1
178437;GRDF;2019;G;773050203;5 RUE DE LA FAIENCERIE;MONTEREAU-FAULT-YONNE;R;8,222654e+01;13
178438;GRDF;2019;G;773050203;4 RUE DE L ANCIENNE PIPERIE;MONTEREAU-FAULT-YONNE;R;5,631560e+00;13
178439;GRDF;2019;G;773050203;2 RUE EDMOND FORTIN;MONTEREAU-FAULT-YONNE;R;2,951620e+02;1
178440;GRDF;2019;G;773050203;1 RUE DE LA FAIENCERIE;MONTEREAU-FAULT-YONNE;R;1,107288e+02;16
178441;GRDF;2019;G;773050203;7 RUE DE LA FAIENCERIE;MONTEREAU-FAULT-YONNE;R;1,197961e+02;15
178442;GRDF;2019;G;773050203;13 QUAI D YONNE;MONTEREAU-FAULT-YONNE;R;4,149311e+02;2
178443;GRDF;2019;G;773050203;6 RUE DE L ANCIENNE PIPERIE;MONTEREAU-FAULT-YONNE;R;2,816070e+00;11
178444;GRDF;2019;G;773050203;19 RUE PIERRE CORNEILLE;MONTEREAU-FAULT-YONNE;R;2,083704e+02;1
178445;GRDF;2019;G;773050203;7 B RUE VICTOR HUGO;MONTEREAU-FAULT-YONNE;R;1,021005e+02;16
178446;GRDF;2019;G;773050203;22 T BOULEVARD CHEREAU;MONTEREAU-FAULT-YONNE;R;5,029402e+01;10
178447;GRDF;2019;G;773050203;14 BOULEVARD CRETTE PREIGNARD;MONTEREAU-FAULT-YONNE;R;8,389539e+01;11
178448;GRDF;2019;G;773050203;8 RUE PIERRE DE MONTEREAU;MONTEREAU-FAULT-YONNE;R;3,095186e+02;1
178449;GRDF;2019;G;773050203;8 RUE DE L ANCIENNE PIPERIE;MONTEREAU-FAULT-YONNE;R;1,156980e+01;14
178450;GRDF;2019;G;773050203;3 RUE DE LA FAIENCERIE;MONTEREAU-FAULT-YONNE;R;1,014601e+02;15
178451;GRDF;2019;G;773050203;2 PLACE DU CALVAIRE;MONTEREAU-FAULT-YONNE;R;2,078050e+02;1
178452;GRDF;2019;G;773050203;1 RUE VICTOR HUGO;MONTEREAU-FAULT-YONNE;T;6,573031e+03;1
179447;GRDF;2019;G;774090000;IMPASSE DE MERLANGE;SAINT-GERMAIN-LAVAL;T;1,598347e+01;1
179448;GRDF;2019;G;774090000;RUE DE PROVINS;SAINT-GERMAIN-LAVAL;T;1,948377e+03;1
179542;GRDF;2019;G;774390000;5 RUE DE PROVINS;SALINS;T;7,414565e+02;1
180015;GRDF;2019;G;774820000;36 AVENUE ALBERT GRAVE;VARENNES-SUR-SEINE;R;2,593469e+01;15
180016;GRDF;2019;G;774820000;1 RUE LOUISE GOUNON;VARENNES-SUR-SEINE;R;6,128083e+01;10
180017;GRDF;2019;G;774820000;28 AVENUE ALBERT GRAVE;VARENNES-SUR-SEINE;R;2,385231e+01;16
180018;GRDF;2019;G;774820000;1 A AVENUE ALBERT GRAVE;VARENNES-SUR-SEINE;R;1,526236e+01;31
180019;GRDF;2019;G;774820000;34 AVENUE ALBERT GRAVE;VARENNES-SUR-SEINE;R;3,184381e+01;16
180020;GRDF;2019;G;774820000;32 AVENUE ALBERT GRAVE;VARENNES-SUR-SEINE;R;2,125360e+01;16
180021;GRDF;2019;G;774820000;38 AVENUE ALBERT GRAVE;VARENNES-SUR-SEINE;R;6,824856e+01;10
180022;GRDF;2019;G;774820000;30 AVENUE ALBERT GRAVE;VARENNES-SUR-SEINE;R;2,853191e+01;16
180023;GRDF;2019;G;774820000;8 AVENUE DU 8 MAI 1945;VARENNES-SUR-SEINE;R;2,185035e+02;1
180024;GRDF;2019;G;774820000;RUE DE LA GARE;VARENNES-SUR-SEINE;T;1,237262e+03;2
180025;GRDF;2019;G;774820000;30 RUE GRANDE;VARENNES-SUR-SEINE;T;7,198200e+02;1
180026;GRDF;2019;G;774820000;ZAC DE BREAU;VARENNES-SUR-SEINE;T;2,129078e+03;1
180027;GRDF;2019;G;774820000;RUE INCONNUE;VARENNES-SUR-SEINE;T;1,041359e+03;1
180028;GRDF;2019;G;774820000;RUE MALIK OUSSEKINE;VARENNES-SUR-SEINE;T;4,378796e+02;1
180029;GRDF;2019;G;774820000;120 AVENUE ALBERT GRAVE;VARENNES-SUR-SEINE;T;1,267592e+03;1
180030;GRDF;2019;G;774820000;30 AVENUE ALBERT GRAVE;VARENNES-SUR-SEINE;T;5,668607e+02;1
180031;GRDF;2019;G;774820000;6 AVENUE D ORMES;VARENNES-SUR-SEINE;T;8,501646e+02;1
180032;GRDF;2019;G;774820000;AVENUE DU 8 MAI 1945;VARENNES-SUR-SEINE;T;1,811436e+02;1
180033;GRDF;2019;G;774820000;AVENUE DU 8 MAI 1945;VARENNES-SUR-SEINE;T;4,663245e+02;1
180261;GRDF;2019;G;775310000;19 RUE JULES MASSENET;VOULX;T;3,767521e+02;1
180262;GRDF;2019;G;775310000;15 RUE JULES MASSENET;VOULX;T;5,436331e+02;1
