;OPERATEUR;ANNEE;FILIERE;CODE_IRIS;NOM_COMMUNE;ADRESSE;CODE_GRAND_SECTEUR;CONSO;PDL
413058;Enedis;2019;E;773050102;MONTEREAU-FAULT-YONNE;5 RUE LOUIS BRAILLE;R;2,255034e+01;10
413059;Enedis;2019;E;773050102;MONTEREAU-FAULT-YONNE;16 RUE PAUL LANGEVIN;R;1,604886e+01;10
413060;Enedis;2019;E;773050102;MONTEREAU-FAULT-YONNE;2 RUE PAUL LANGEVIN;R;2,000107e+01;12
413061;Enedis;2019;E;773050102;MONTEREAU-FAULT-YONNE;4 RUE PAUL LANGEVIN;R;2,040280e+01;12
413062;Enedis;2019;E;773050102;MONTEREAU-FAULT-YONNE;10 RUE PAUL LANGEVIN;R;1,830577e+01;10
413063;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;1 AVENUE LAENNEC;R;3,478999e+01;10
413064;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;50 SQUARE BEAUMARCHAIS;R;3,572932e+01;12
413065;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;14 RUE RACINE;R;2,631664e+01;10
413066;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;44 SQUARE BEAUMARCHAIS;R;2,393545e+01;11
413067;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;2 RUE RACINE;R;3,376193e+01;20
413068;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;6 RUE DESCARTES;R;3,812668e+01;16
413069;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;24 RUE DE PAREDES;R;5,720712e+01;30
413070;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;4 PLACE DU GENERAL BERTRAND;R;2,587721e+01;18
413071;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;2 RUE DESCARTES;R;4,783114e+01;17
413072;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;7 RUE DE PAREDES;R;3,547657e+01;23
413073;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;2 RUE EDMOND ROSTAND;R;3,405125e+01;44
413074;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;2 RUE D OTLEY;R;2,842802e+01;17
413075;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;12 BOULEVARD DIDEROT;R;3,587024e+01;23
413076;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;1 RUE D OTLEY;R;3,518399e+01;17
413077;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;5 RUE DE PAREDES;R;2,552536e+01;15
413078;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;52 SQUARE BEAUMARCHAIS;R;3,938800e+01;12
413079;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;12 RUE RACINE;R;3,148104e+01;10
413080;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;8 PLACE DU GENERAL BERTRAND;R;3,414112e+01;19
413081;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;38 SQUARE BEAUMARCHAIS;R;5,998440e+01;17
413082;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;40 SQUARE BEAUMARCHAIS;R;6,955977e+01;18
413083;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;3 RUE D OTLEY;R;2,607599e+01;16
413084;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;46 SQUARE BEAUMARCHAIS;R;6,551827e+01;18
413085;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;4 BOULEVARD DIDEROT;R;2,359312e+01;16
413086;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;8 RUE DESCARTES;R;4,007113e+01;12
413087;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;4 RUE DESCARTES;R;3,695596e+01;15
413088;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;42 SQUARE BEAUMARCHAIS;R;5,847290e+01;17
413089;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;6 PLACE DU GENERAL BERTRAND;R;4,045615e+01;19
413090;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;1 PLACE DU GENERAL DELORT;R;3,159229e+01;12
413091;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;48 SQUARE BEAUMARCHAIS;R;8,232138e+01;21
413092;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;2 PLACE DU GENERAL BERTRAND;R;3,277355e+01;17
413093;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;10 PLACE DU GENERAL BERTRAND;R;2,530578e+01;16
413094;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;45 SQUARE BEAUMARCHAIS;T;4,305187e+01;1
413095;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;1 RUE EDMOND ROSTAND;T;6,381034e+01;1
413096;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;14 RUE FLEUR BEGNE;R;1,542343e+01;10
413097;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;12 RUE JULES FERRY;R;3,231131e+01;14
413098;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;3 RUE DES CHESNOIS;R;2,155999e+01;10
413099;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;9 RUE DES CHESNOIS;R;1,798882e+01;10
413100;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;7 RUE DU CLOS DION;R;1,512707e+01;10
413101;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;11 RUE DU CLOS DION;R;1,720661e+01;10
413102;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;15 RUE DU CLOS DION;R;1,505691e+01;10
413103;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;4 RUE FLEUR BEGNE;R;2,468812e+01;10
413104;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;2 RUE DES GRES;R;1,580692e+01;10
413105;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;3 RUE FLEUR BEGNE;R;2,064519e+01;10
413106;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;28 RUE FLEUR BEGNE;R;2,548323e+01;10
413107;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;6 RUE DES GRES;R;2,232375e+01;10
413108;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;1 AVENUE MOLIERE;R;2,145368e+02;129
413109;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;1 RUE DES CHESNOIS;R;1,600129e+01;10
413110;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;6 RUE FLEUR BEGNE;R;1,890838e+01;10
413111;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;26 RUE FLEUR BEGNE;R;1,627757e+01;10
413112;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;17 RUE DES CHESNOIS;R;1,185575e+01;10
413113;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;8 AVENUE DE LA LIBERTE;R;1,161206e+02;58
413114;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;10 RUE DES GRES;R;2,524673e+01;10
413115;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;11 RUE DES CHESNOIS;R;1,845940e+01;10
413116;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;21 RUE DU CLOS DION;R;1,901967e+01;10
413117;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;14 RUE DES GRES;R;1,782529e+01;10
413118;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;9 RUE DU CLOS DION;R;1,591463e+01;10
413119;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;7 RUE DES CHESNOIS;R;1,628220e+01;10
413120;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;11 RUE ANATOLE FRANCE;R;2,584182e+01;20
413121;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;5 RUE DES CHESNOIS;R;2,080816e+01;10
413122;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;2 RUE FLEUR BEGNE;R;1,099776e+01;10
413123;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;4 RUE DES GRES;R;1,915959e+01;10
413124;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;13 RUE DU CLOS DION;R;1,412842e+01;10
413125;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;8 BOULEVARD DIDEROT;R;3,106498e+01;23
413126;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;12 RUE FLEUR BEGNE;R;1,590386e+01;10
413127;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;23 RUE DES CHESNOIS;R;2,214434e+01;10
413128;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;8 RUE FLEUR BEGNE;R;1,925173e+01;10
413129;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;2 RUE DES CHESNOIS;R;1,272325e+01;16
413130;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;1 RUE DU CLOS DION;R;2,115592e+01;10
413131;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;13 RUE ANATOLE FRANCE;R;3,492084e+01;20
413132;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;21 RUE DES CHESNOIS;R;1,711735e+01;10
413133;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;13 RUE DES CHESNOIS;R;1,719660e+01;10
413134;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;5 RUE DU CLOS DION;R;1,738593e+01;10
413135;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;24 RUE FLEUR BEGNE;R;1,788034e+01;10
413136;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;4 RUE DES CHESNOIS;R;1,358698e+01;10
413137;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;16 RUE DES GRES;R;1,889815e+01;10
413138;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;20 RUE FLEUR BEGNE;R;1,362558e+01;10
413139;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;8 RUE DES GRES;R;2,918836e+01;10
413140;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;19 RUE DES CHESNOIS;R;1,528034e+01;10
413141;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;1 RUE FLEUR BEGNE;R;1,482849e+01;10
413142;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;22 RUE FLEUR BEGNE;R;1,958401e+01;10
413143;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;25 RUE DES CHESNOIS;R;1,496954e+01;10
413144;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;1 RUE DES GRES;R;1,677458e+02;91
413145;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;27 RUE DES CHESNOIS;R;2,607854e+01;10
413146;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;10 RUE JULES FERRY;R;4,064791e+01;16
413147;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;3 RUE TRAVERSIERE;R;3,521089e+01;11
413148;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;3 RUE DU CLOS DION;R;1,618196e+01;10
413149;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;3 RUE JEAN BOUIN;R;2,270975e+02;126
413150;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;19 RUE DU CLOS DION;R;1,588724e+01;10
413151;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;9 RUE ANATOLE FRANCE;R;2,765498e+01;20
413152;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;12 RUE DES GRES;R;2,191037e+01;10
413153;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;5 RUE FLEUR BEGNE;R;1,666642e+01;10
413154;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;1 AVENUE DE LA LIBERTE;T;7,996283e+01;1
413155;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;2 PLACE JEAN XXIII;T;3,533000e+00;1
413156;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;2 RUE DU CLOS DION;T;6,471886e+01;1
413157;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;3 RUE JEAN BOUIN;T;1,092464e+02;1
413158;Enedis;2019;E;773050105;MONTEREAU-FAULT-YONNE;1 PLACE DE BOULAINS;R;2,204132e+01;10
413159;Enedis;2019;E;773050105;MONTEREAU-FAULT-YONNE;7 PLACE DE BOULAINS;R;1,886282e+01;10
413160;Enedis;2019;E;773050105;MONTEREAU-FAULT-YONNE;6 PLACE DE BOULAINS;R;2,346770e+01;10
413161;Enedis;2019;E;773050105;MONTEREAU-FAULT-YONNE;60 B AVENUE DE SURVILLE;R;4,839149e+01;27
413162;Enedis;2019;E;773050105;MONTEREAU-FAULT-YONNE;4 PLACE DE BOULAINS;R;1,449480e+01;10
413163;Enedis;2019;E;773050105;MONTEREAU-FAULT-YONNE;8 PLACE DE BOULAINS;R;2,006301e+01;10
413164;Enedis;2019;E;773050105;MONTEREAU-FAULT-YONNE;1 AVENUE DU LYCEE;R;6,586627e+01;54
413165;Enedis;2019;E;773050105;MONTEREAU-FAULT-YONNE;35 AVENUE DE SURVILLE;R;4,777012e+01;19
413166;Enedis;2019;E;773050105;MONTEREAU-FAULT-YONNE;19 RUE DE PROVINS;R;4,458139e+01;12
413167;Enedis;2019;E;773050105;MONTEREAU-FAULT-YONNE;37 AVENUE DE SURVILLE;R;3,778064e+01;19
413168;Enedis;2019;E;773050105;MONTEREAU-FAULT-YONNE;5 PLACE DE BOULAINS;R;1,829103e+01;10
413169;Enedis;2019;E;773050105;MONTEREAU-FAULT-YONNE;11 T RUE DES GRANDES BERGES;R;2,558547e+01;11
413170;Enedis;2019;E;773050105;MONTEREAU-FAULT-YONNE;57 RUE DE PROVINS;R;4,741506e+01;12
413171;Enedis;2019;E;773050105;MONTEREAU-FAULT-YONNE;3 PLACE DE BOULAINS;R;2,118246e+01;10
413172;Enedis;2019;E;773050105;MONTEREAU-FAULT-YONNE;1 AVENUE DU LYCEE;T;1,330519e+02;1
413173;Enedis;2019;E;773050105;MONTEREAU-FAULT-YONNE;17 AVENUE DE LA COLLINE SAINT MARTIN;T;8,100984e+01;1
413174;Enedis;2019;E;773050105;MONTEREAU-FAULT-YONNE;4 RUE HENRI BARBUSSE;T;2,109782e+02;1
413175;Enedis;2019;E;773050201;MONTEREAU-FAULT-YONNE;1 RUE DES SECHERONS;I;8,734413e+02;1
413176;Enedis;2019;E;773050201;MONTEREAU-FAULT-YONNE;12 RUE DES PRES SAINT MARTIN;I;8,400100e+01;1
413177;Enedis;2019;E;773050201;MONTEREAU-FAULT-YONNE;4 RUE DU PHARLE;I;6,840100e+01;1
413178;Enedis;2019;E;773050201;MONTEREAU-FAULT-YONNE;15 RUE DE LA GRANDE HAIE;I;8,867650e+01;1
413179;Enedis;2019;E;773050201;MONTEREAU-FAULT-YONNE;1 BOULEVARD DES FOSSES SAINT MAURICE;R;7,591497e+01;11
413180;Enedis;2019;E;773050201;MONTEREAU-FAULT-YONNE;24 RUE DE LA GRANDE HAIE;T;3,610612e+02;1
413181;Enedis;2019;E;773050201;MONTEREAU-FAULT-YONNE;13 RUE DE LA GRANDE HAIE;T;7,313667e+01;1
413182;Enedis;2019;E;773050201;MONTEREAU-FAULT-YONNE;7 RUE DU PHARLE;T;7,498670e+00;1
413183;Enedis;2019;E;773050201;MONTEREAU-FAULT-YONNE;4 RUE DES CLOMARTS;T;7,519749e+01;1
413184;Enedis;2019;E;773050201;MONTEREAU-FAULT-YONNE;30 RUE DE LA GRANDE HAIE;T;2,532101e+02;1
413185;Enedis;2019;E;773050201;MONTEREAU-FAULT-YONNE;8 RUE DU PHARLE;T;1,645850e+02;1
413186;Enedis;2019;E;773050201;MONTEREAU-FAULT-YONNE;9 RUE DE LA GRANDE HAIE;T;2,625700e+02;1
413187;Enedis;2019;E;773050201;MONTEREAU-FAULT-YONNE;14 ROUTE DE BRAY;T;2,670285e+02;1
413188;Enedis;2019;E;773050201;MONTEREAU-FAULT-YONNE;2 RUE DU PHARLE;T;6,267670e+01;1
413189;Enedis;2019;E;773050201;MONTEREAU-FAULT-YONNE;3 ROUTE DE SENS;T;1,910865e+02;1
413190;Enedis;2019;E;773050201;MONTEREAU-FAULT-YONNE;8 RUE DES PRES SAINT MARTIN;T;4,853698e+01;1
413191;Enedis;2019;E;773050201;MONTEREAU-FAULT-YONNE;16 RUE DE LA GRANDE HAIE;T;1,572892e+02;2
413192;Enedis;2019;E;773050201;MONTEREAU-FAULT-YONNE;2 RUE DES SECHERONS;T;3,638650e+00;1
413193;Enedis;2019;E;773050201;MONTEREAU-FAULT-YONNE;8 RUE DE LA GRANDE HAIE;T;3,330913e+01;1
413194;Enedis;2019;E;773050201;MONTEREAU-FAULT-YONNE;3 RUE DU PHARLE;T;1,715400e-01;1
413195;RTE;2019;E;773050201;MONTEREAU-FAULT-YONNE;NON RENSEIGNE;I;3,555070e+05;3
413196;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;23 RUE DE VARENNES;R;1,392679e+01;10
413197;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;11 RUE DE LA PEPINIERE ROYALE;R;7,559231e+01;12
413198;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;13 RUE DE LA SOLIDARITE;R;1,331875e+02;80
413199;Enedis;2019;E;773050202;MONTEREAU-FAULT-YONNE;27 RUE ETIENNE THIBAULT;R;4,362403e+01;16
