;OPERATEUR;ANNEE;FILIERE;CODE_IRIS;ADRESSE;NOM_COMMUNE;CODE_GRAND_SECTEUR;CONSO;PDL;latitude;longitude;id;score
178378;GRDF;2019;G;773050103;2 RUE RACINE;MONTEREAU-FAULT-YONNE;R;1,505506e+01;18;48.397675;2.957072;77305_1355_00002;0.8716736363636364
178379;GRDF;2019;G;773050103;1 AVENUE LAENNEC;MONTEREAU-FAULT-YONNE;R;2,026225e+02;11;48.398015;2.960115;77305_0835_00001;0.8685236363636363
178380;GRDF;2019;G;773050103;46 SQUARE BEAUMARCHAIS;MONTEREAU-FAULT-YONNE;R;1,078770e+01;12;48.399349;2.95572;77305_0105_00046;0.8733627272727271
178381;GRDF;2019;G;773050103;1 PLACE DU GENERAL DELORT;MONTEREAU-FAULT-YONNE;R;7,639110e+00;11;48.399214;2.957269;77305_0665_00001;0.8612081818181817
178382;GRDF;2019;G;773050103;6 PLACE DU GENERAL BERTRAND;MONTEREAU-FAULT-YONNE;R;9,999840e+00;14;48.397969;2.958789;77305_0655_00006;0.8662018181818182
178383;GRDF;2019;G;773050103;10 PLACE DU GENERAL BERTRAND;MONTEREAU-FAULT-YONNE;R;5,308270e+00;10;48.397721;2.958419;77305_0655_00010;0.8662018181818182
178384;GRDF;2019;G;773050103;8 RUE RACINE;MONTEREAU-FAULT-YONNE;R;1,324879e+01;10;48.398016;2.957464;77305_1355_00008;0.8716736363636364
178385;GRDF;2019;G;773050103;8 PLACE DU GENERAL BERTRAND;MONTEREAU-FAULT-YONNE;R;8,275420e+00;10;48.397767;2.958807;77305_0655_00008;0.8662018181818182
178386;GRDF;2019;G;773050103;48 SQUARE BEAUMARCHAIS;MONTEREAU-FAULT-YONNE;R;1,311729e+01;11;48.399288;2.955506;77305_0105_00048;0.8733627272727271
178387;GRDF;2019;G;773050103;4 PLACE DU GENERAL BERTRAND;MONTEREAU-FAULT-YONNE;R;7,638150e+00;13;48.397947;2.958304;77305_0655_00004;0.8662018181818182
178388;GRDF;2019;G;773050103;4 BOULEVARD DIDEROT;MONTEREAU-FAULT-YONNE;R;9,569720e+00;12;48.397889;2.955745;77305_0447_00004;0.8693518181818181
178389;GRDF;2019;G;773050103;40 SQUARE BEAUMARCHAIS;MONTEREAU-FAULT-YONNE;R;1,017631e+01;13;48.399245;2.956599;77305_0105_00040;0.8733627272727271
178390;GRDF;2019;G;773050103;12 BOULEVARD DIDEROT;MONTEREAU-FAULT-YONNE;R;1,660833e+01;19;48.397907;2.955273;77305_0447_00012;0.8693518181818181
178391;GRDF;2019;G;773050103;42 SQUARE BEAUMARCHAIS;MONTEREAU-FAULT-YONNE;R;1,428543e+01;15;48.399316;2.956304;77305_0105_00042;0.8733627272727271
178392;GRDF;2019;G;773050103;8 BOULEVARD DIDEROT;MONTEREAU-FAULT-YONNE;R;1,452252e+01;20;48.397896;2.955513;77305_0447_00008;0.8693518181818181
178393;GRDF;2019;G;773050104;25 RUE DES CHESNOIS;MONTEREAU-FAULT-YONNE;R;9,082340e+00;10;48.396643;2.956425;77305_0300_00025;0.8742181818181818
178394;GRDF;2019;G;773050104;13 RUE ANATOLE FRANCE;MONTEREAU-FAULT-YONNE;R;1,088145e+01;15;48.396356;2.959827;77305_0005_00013;0.8662018181818182
178395;GRDF;2019;G;773050104;9 RUE ANATOLE FRANCE;MONTEREAU-FAULT-YONNE;R;4,792050e+00;15;48.396361;2.959615;77305_0005_00009;0.8662018181818182
178396;GRDF;2019;G;773050104;11 RUE ANATOLE FRANCE;MONTEREAU-FAULT-YONNE;R;9,214470e+00;17;48.396071;2.959256;77305_0005_00011;0.8662018181818182
178397;GRDF;2019;G;773050104;3 RUE JEAN BOUIN;MONTEREAU-FAULT-YONNE;R;6,296373e+01;104;48.395674;2.953158;77305_0813_00003;0.8612081818181817
178398;GRDF;2019;G;773050104;2 RUE DES CHESNOIS;MONTEREAU-FAULT-YONNE;R;7,802940e+00;12;48.394762;2.956592;77305_0300_00002;0.8742181818181818
178399;GRDF;2019;G;773050104;1 RUE DES GRES;MONTEREAU-FAULT-YONNE;R;4,376510e+01;67;48.395133;2.957503;77305_0730_00001;0.8689563636363636
178400;GRDF;2019;G;773050104;7 RUE FLEUR BEGNE;MONTEREAU-FAULT-YONNE;R;1,036401e+01;10;48.3956;2.955303;77305_0580_00007;0.8716736363636364
178401;GRDF;2019;G;773050104;2 RUE FLEUR BEGNE;MONTEREAU-FAULT-YONNE;R;5,131870e+00;10;48.39489;2.955524;77305_0580_00002;0.8716736363636364
178402;GRDF;2019;G;773050104;1 AVENUE MOLIERE;MONTEREAU-FAULT-YONNE;R;6,665510e+01;95;48.397446;2.955611;77305_0953_00001;0.8653727272727272
178403;GRDF;2019;G;773050105;AVENUE DE SURVILLE;MONTEREAU-FAULT-YONNE;I;7,376679e+02;1;48.392035;2.954303;77305_1515;0.8765136363636363
178404;GRDF;2019;G;773050105;11 T RUE DES GRANDES BERGES;MONTEREAU-FAULT-YONNE;R;7,844514e+01;10;48.392959;2.955792;77305_0710_00011_ter;0.7603509717868339
178405;GRDF;2019;G;773050105;8 PLACE DE BOULAINS;MONTEREAU-FAULT-YONNE;R;8,606140e+00;10;48.393958;2.957137;77305_0160_00008;0.8680445454545455
178406;GRDF;2019;G;773050105;RUE LAENNEC;MONTEREAU-FAULT-YONNE;T;2,502914e+03;1;48.398301;2.960548;77305_0835;0.5763158441558441
